gs,Genus,genus,family,order,Spermatophyta,Angiospermae,Mesangiospermae,Monocotyledoneae,Nartheciidae,Petrosaviidae,Commelinidae,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,Lamiidae,Superrosidae,Rosidae,Malvidae,Fabidae,Magnoliidae,Acrogymnospermae,Cycadophyta,Coniferae,Cupressophyta,Gnetophyta
Achillea_fragrantissima,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_grandifolia,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_holosericea,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_impatiens,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea_inundata,Achillea,Achillea,Asteraceae,Asterales,Spermatophyta,Angiospermae,Mesangiospermae,NA,NA,NA,NA,Eudicotyledoneae,Gunneridae,Superasteridae,Pentapetalae,Asteridae,Campanulidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
