"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","parsimony.score.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","parsimony.score.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"24","genus","Saussurea",0.0470126093660837,0.00703279244084587,0,115,115,23.59177,291.51347,0,0.0500398684848101,0.0213187370502358,1.64971526670269,0.201224413667218,44.0094985156155,44.0094985156155,0,0,0,0.716613810594907,0.825637589941068,0.410675262973391,65
"71","random_115_taxa","Saussurea_RandomTwin",2.06115362243856e-09,0.00224236455078377,11.5,103.5,115,105,3005.9164265,5,0.00149525171489091,0.999997904185731,0.0856144270238442,0.00264864131302759,24.4833400375427,24.4833400375427,0,1.95279942344752,190.680645741692,2.13446939447714,0.04393196473875,0.420576627005392,1
"25","genus","Scaevola",0.00271380688836079,0.00562520902643906,1,66,67,32.295172,375.157021,1,0.00459284622747408,0.598753471507079,0.474825677462116,0.313488444196765,23.3438309718959,23.3438309718959,0,0,0,0.880541614776687,0.282260424181298,0.459001860180393,45
"72","random_67_taxa","Scaevola_RandomTwin",2.06115362243856e-09,0.00223552688912639,7,60,67,105,2091.053322,4,0.00186456485754694,0.999995902776313,0.0341659793806943,0.00179074317399018,13.7286068653978,13.7286068653978,0,2.95928867769408,145.924869605723,1.80906806746658,0.0175660749300894,0.418216270475786,2
"26","genus","Schefflera",0.0384257518804799,0.00465886596762614,2,107,109,44.568447,452.203858,1,0.021778651248225,0.0231093321419198,1.00101947649939,0.010695368977842,30.2328405292101,30.2328405292101,0,0,0,0.712372618420127,0.504861558484518,0.474908930261332,39
"73","random_109_taxa","Schefflera_RandomTwin",2.06115362243856e-09,0.00233454213453064,12,97,109,105,2932.072674,5,0.00139465819992254,0.999998102178297,1.70065894369759,0.0479688932020582,22.4825499110988,22.4825499110988,0,2.47148046725216,153.41599550874,2.28910462845192,0.874303342168953,0.424329696456481,1
"27","genus","Senecio",0.000805329575045736,0.0048349466868123,3,258,261,30.860007,823.204222,1,0.00505207491093467,0.957675834544085,1.44570329045909,0.170202047111358,102.883416908399,102.883416908399,0,0,0,1.41888418245899,0.726541414895051,0.466574889728335,19
"74","random_261_taxa","Senecio_RandomTwin",2.06115362243856e-09,0.00224280265494825,27.5,233.5,261,105.000001,5339.281365,10,0.00148494778909008,0.999997893939489,0.0882770925289168,0.00205964105446789,55.1604601470688,55.1604601470688,0,7.12018044995537e-07,195.346088222956,2.85294460676911,0.0450639700969306,0.355873773639879,0
"28","genus","Stevia",0.0132469271244505,0.00986546625690686,0,78,78,7.358961,109.709763,0,0.0112895463818355,0.412230888504235,3.00877914264148,1.62191887400115,29.6506170409503,29.6506170409503,0,0,0,0.442559132612339,1.64592509801733,0.478965295206003,83
"75","random_78_taxa","Stevia_RandomTwin",2.06115362243856e-09,0.00231314646198429,8,70,78,105,2350.1856075,4,0.00196426365461351,0.999995974023544,0.230052361066412,0.0106717786223447,16.3353863892119,16.3353863892119,0,2.81209898744842,164.283882543532,1.76280309378976,0.120133737180418,0.433517817145418,1
