"","kind","name","rate01.median","rate10.median","count0.median","count1.median","ntip.median","depth.median","total.length.median","average.rate.median","tropic.to.temperate.fraction.median","rate01.sd","rate10.sd","count0.sd","count1.sd","ntip.sd","depth.sd","total.length.sd","average.rate.sd","tropic.to.temperate.fraction.sd","invariant.proportion"
"65","random_81_taxa","Lonicera_RandomTwin",0.0195653959725453,0.049706472064354,58,23,81,105,2358.875304,0.0352926695332091,0.711589056797165,0.207132797627761,0.713084043611531,5.66556138953466,5.66556138953466,0,2.87782301326502,165.790477710182,0.459601000146701,0.0820099187698293,0
"19","genus","Metalasia",0.0420842591046718,0.0433537249166114,50,1,51,2.837427,48.954814,0.0423911970304099,0.375841498086585,1.32909616126005,4.75100889061595,19.4795930515641,19.4795930515641,0,0,0,2.47717674815986,0.480531353563703,38
"66","random_51_taxa","Metalasia_RandomTwin",0.02827574136544,0.0610615310148368,36,15,51,104.999999,1726.836399,0.0434581740757341,0.711800275185667,1.37213935298775,3.58023459786664,4.21833420135762,4.21833420135762,0,3.06876597293313,133.835516864828,2.43654800695835,0.0870450944229066,0
"20","genus","Olearia",0.0169633501846098,0.0455765091650966,57,7,64,15.625173,209.916717,0.0349699981639185,0.717809899349638,0.102265726603117,1.77393069049247,14.2951393872536,14.2951393872536,0,0,0,0.929471077316277,0.391642578396036,3
"67","random_64_taxa","Olearia_RandomTwin",0.0195817289049096,0.0462413376550063,45,19,64,104.9999985,2006.046905,0.0347482652383447,0.698592156731833,0.0518104630185203,0.235890919502394,4.8526156645544,4.8526156645544,0,3.15060858627078,150.677811584561,0.142107338172384,0.132027457497278,0
"21","genus","Pectis",0.019374933084184,0.0494979134365286,48.5,6.5,55,11.084099,108.804497,0.030355637411688,0.793144085711005,0.0541668756337579,0.927816762431723,19.2103822939261,19.2103822939261,0,0,0,0.473370143008748,0.406969080984352,7
"68","random_55_taxa","Pectis_RandomTwin",0.0242883305757247,0.0536035104791679,39.5,15.5,55,104.999999,1838.732194,0.0397114385377958,0.709131666084402,1.06407937462528,3.11715301568723,4.60183318764041,4.60183318764041,0,3.03837016158017,143.902818134363,2.07120813408999,0.150126920589897,0
"22","genus","Pimpinella",0.0177108987448043,0.0529665128655585,47.5,8.5,56,27.195876,264.469925,0.0381109572438054,0.776360178151736,0.286570758014618,2.82149740601201,14.4328329397477,14.4328329397477,0,0,0,1.55134592704987,0.367618750046977,0
"69","random_56_taxa","Pimpinella_RandomTwin",0.022365737809376,0.0545024109662397,40,16,56,104.999999,1809.002785,0.0394348060597898,0.72134845628297,0.492925933500347,1.40155602235759,4.38706777202765,4.38706777202765,0,3.11490207400428,152.439886040227,0.939342563249532,0.128597785728101,0
"43","family","Pittosporaceae",0.0206169436338997,0.0485453802808269,47,17,64,46.605784,681.487404,0.0333087513096918,0.71726762701938,0.0660114522791937,0.336475086861052,7.71536575198277,7.71536575198277,0,0,0,0.192071819062941,0.204296230341942,0
"90","random_64_taxa","Pittosporaceae_RandomTwin",0.0240685022694561,0.0562045921307753,45,19,64,104.999999,2058.9810165,0.0393682209947584,0.693264804912275,0.773520868626296,1.92853282253293,4.87703337547064,4.87703337547064,0,2.97860597028943,155.548528670903,1.344394795919,0.0884686451919506,0
